stemID           LocationX        LocationY        Length           Radians         
14663            0.00             0.00             60.00            1.57            
14664            0.00             60.00            55.56            2.09            
14665            0.00             60.00            60.00            1.57            
14666            0.00             60.00            55.56            1.05            
14667            -27.78           108.11           47.63            2.62            
14668            -27.78           108.11           55.55            2.09            
14669            -27.78           108.11           47.63            1.57            
14670            0.00             120.00           51.44            2.09            
14671            0.00             120.00           60.00            1.57            
14672            0.00             120.00           51.44            1.05            
14673            27.78            108.11           47.63            1.57            
14674            27.78            108.11           55.55            1.05            
14675            27.78            108.11           47.63            0.52            
14676            -69.03           131.93           37.81            3.14            
14677            -69.03           131.93           47.63            2.62            
14678            -69.03           131.93           37.81            2.09            
14679            -55.56           156.22           44.10            2.62            
14680            -55.56           156.22           55.55            2.09            
14681            -55.56           156.22           44.10            1.57            
14682            -27.78           155.74           37.81            2.09            
14683            -27.78           155.74           47.63            1.57            
14684            -27.78           155.74           37.81            1.05            
14685            -25.72           164.55           40.83            2.62            
14686            -25.72           164.55           51.44            2.09            
14687            -25.72           164.55           40.83            1.57            
14688            0.00             180.00           47.63            2.09            
14689            0.00             180.00           60.00            1.57            
14690            0.00             180.00           47.63            1.05            
14691            25.72            164.55           40.83            1.57            
14692            25.72            164.55           51.44            1.05            
14693            25.72            164.55           40.83            0.52            
14694            27.78            155.74           37.81            2.09            
14695            27.78            155.74           47.63            1.57            
14696            27.78            155.74           37.81            1.05            
14697            55.56            156.22           44.10            1.57            
14698            55.56            156.22           55.55            1.05            
14699            55.56            156.22           44.10            0.52            
14700            69.03            131.93           37.81            1.05            
14701            69.03            131.93           47.63            0.52            
14702            69.03            131.93           37.81            0.00            
14703            -106.84          131.93           27.79            3.67            
14704            -106.84          131.93           37.81            3.14            
14705            -106.84          131.93           27.79            2.62            
14706            -110.27          155.74           35.01            3.14            
14707            -110.27          155.74           47.63            2.62            
14708            -110.27          155.74           35.01            2.09            
14709            -87.93           164.67           27.79            2.62            
14710            -87.93           164.67           37.81            2.09            
14711            -87.93           164.67           27.79            1.57            
14712            -93.75           178.27           32.42            3.14            
14713            -93.75           178.27           44.10            2.62            
14714            -93.75           178.27           32.42            2.09            
14715            -83.33           204.33           40.83            2.62            
14716            -83.33           204.33           55.55            2.09            
14717            -83.33           204.33           40.83            1.57            
14718            -55.56           200.32           32.42            2.09            
14719            -55.56           200.32           44.10            1.57            
14720            -55.56           200.32           32.42            1.05            
14721            -46.68           188.49           27.79            2.62            
14722            -46.68           188.49           37.81            2.09            
14723            -46.68           188.49           27.79            1.57            
14724            -27.78           203.37           35.01            2.09            
14725            -27.78           203.37           47.63            1.57            
14726            -27.78           203.37           35.01            1.05            
14727            -8.87            188.49           27.79            1.57            
14728            -8.87            188.49           37.81            1.05            
14729            -8.87            188.49           27.79            0.52            
14730            -61.08           184.96           30.01            3.14            
14731            -61.08           184.96           40.83            2.62            
14732            -61.08           184.96           30.01            2.09            
14733            -51.44           209.09           37.81            2.62            
14734            -51.44           209.09           51.44            2.09            
14735            -51.44           209.09           37.81            1.57            
14736            -25.72           205.38           30.01            2.09            
14737            -25.72           205.38           40.83            1.57            
14738            -25.72           205.38           30.01            1.05            
14739            -23.81           221.25           35.01            2.62            
14740            -23.81           221.25           47.63            2.09            
14741            -23.81           221.25           35.01            1.57            
14742            0.00             239.99           44.10            2.09            
14743            0.00             239.99           59.99            1.57            
14744            0.00             239.99           44.10            1.05            
14745            23.81            221.25           35.01            1.57            
14746            23.81            221.25           47.63            1.05            
14747            23.81            221.25           35.01            0.52            
14748            25.72            205.38           30.01            2.09            
14749            25.72            205.38           40.83            1.57            
14750            25.72            205.38           30.01            1.05            
14751            51.44            209.09           37.81            1.57            
14752            51.44            209.09           51.44            1.05            
14753            51.44            209.09           37.81            0.52            
14754            61.08            184.96           30.01            1.05            
14755            61.08            184.96           40.83            0.52            
14756            61.08            184.96           30.01            0.00            
14757            8.87             188.49           27.79            2.62            
14758            8.87             188.49           37.81            2.09            
14759            8.87             188.49           27.79            1.57            
14760            27.78            203.37           35.01            2.09            
14761            27.78            203.37           47.63            1.57            
14762            27.78            203.37           35.01            1.05            
14763            46.68            188.49           27.79            1.57            
14764            46.68            188.49           37.81            1.05            
14765            46.68            188.49           27.79            0.52            
14766            55.56            200.32           32.42            2.09            
14767            55.56            200.32           44.10            1.57            
14768            55.56            200.32           32.42            1.05            
14769            83.33            204.33           40.83            1.57            
14770            83.33            204.33           55.55            1.05            
14771            83.33            204.33           40.83            0.52            
14772            93.75            178.27           32.42            1.05            
14773            93.75            178.27           44.10            0.52            
14774            93.75            178.27           32.42            0.00            
14775            87.93            164.67           27.79            1.57            
14776            87.93            164.67           37.81            1.05            
14777            87.93            164.67           27.79            0.52            
14778            110.27           155.74           35.01            1.05            
14779            110.27           155.74           47.63            0.52            
14780            110.27           155.74           35.01            0.00            
14781            106.84           131.93           27.79            0.52            
14782            106.84           131.93           37.81            0.00            
14783            106.84           131.93           27.79            -0.52           
14784            -130.90          118.03           20.43            4.19            
14785            -130.90          118.03           27.79            3.67            
14786            -130.90          118.03           18.91            3.14            
14787            -144.65          131.93           25.73            3.67            
14788            -144.65          131.93           37.81            3.14            
14789            -144.65          131.93           25.73            2.62            
14790            -130.90          145.82           18.91            3.14            
14791            -130.90          145.82           27.79            2.62            
14792            -130.90          145.82           18.91            2.09            
14793            -145.28          155.74           23.83            3.67            
14794            -145.28          155.74           35.01            3.14            
14795            -145.28          155.74           23.83            2.62            
14796            -151.52          179.56           32.41            3.14            
14797            -151.52          179.56           47.62            2.62            
14798            -151.52          179.56           32.41            2.09            
14799            -127.78          186.06           23.83            2.62            
14800            -127.78          186.06           35.01            2.09            
14801            -127.78          186.06           23.83            1.57            
14802            -112.00          178.57           18.91            3.14            
14803            -112.00          178.57           27.79            2.62            
14804            -112.00          178.57           18.91            2.09            
14805            -106.84          197.42           25.73            2.62            
14806            -106.84          197.42           37.81            2.09            
14807            -106.84          197.42           25.73            1.57            
14808            -87.93           192.46           18.91            2.09            
14809            -87.93           192.46           27.79            1.57            
14810            -87.93           192.46           18.91            1.05            
14811            -126.16          178.27           22.06            3.67            
14812            -126.16          178.27           32.41            3.14            
14813            -126.16          178.27           22.06            2.62            
14814            -131.94          200.32           30.01            3.14            
14815            -131.94          200.32           44.10            2.62            
14816            -131.94          200.32           30.01            2.09            
14817            -109.96          206.35           22.06            2.62            
14818            -109.96          206.35           32.41            2.09            
14819            -109.96          206.35           22.06            1.57            
14820            -118.69          224.75           27.79            3.14            
14821            -118.69          224.75           40.83            2.62            
14822            -118.69          224.75           27.79            2.09            
14823            -111.11          252.44           37.81            2.62            
14824            -111.11          252.44           55.55            2.09            
14825            -111.11          252.44           37.81            1.57            
14826            -83.33           245.17           27.79            2.09            
14827            -83.33           245.17           40.83            1.57            
14828            -83.33           245.17           27.79            1.05            
14829            -71.76           228.40           22.06            2.62            
14830            -71.76           228.40           32.41            2.09            
14831            -71.76           228.40           22.06            1.57            
14832            -55.56           244.42           30.01            2.09            
14833            -55.56           244.42           44.10            1.57            
14834            -55.56           244.42           30.01            1.05            
14835            -39.35           228.40           22.06            1.57            
14836            -39.35           228.40           32.41            1.05            
14837            -39.35           228.40           22.06            0.52            
14838            -70.75           202.38           18.91            3.14            
14839            -70.75           202.38           27.79            2.62            
14840            -70.75           202.38           18.91            2.09            
14841            -65.59           221.23           25.73            2.62            
14842            -65.59           221.23           37.81            2.09            
14843            -65.59           221.23           25.73            1.57            
14844            -46.68           216.28           18.91            2.09            
14845            -46.68           216.28           27.79            1.57            
14846            -46.68           216.28           18.91            1.05            
14847            -45.28           233.69           23.83            2.62            
14848            -45.28           233.69           35.01            2.09            
14849            -45.28           233.69           23.83            1.57            
14850            -27.78           251.00           32.41            2.09            
14851            -27.78           251.00           47.62            1.57            
14852            -27.78           251.00           32.41            1.05            
14853            -10.27           233.69           23.83            1.57            
14854            -10.27           233.69           35.01            1.05            
14855            -10.27           233.69           23.83            0.52            
14856            -8.87            216.28           18.91            2.09            
14857            -8.87            216.28           27.79            1.57            
14858            -8.87            216.28           18.91            1.05            
14859            10.03            221.23           25.73            1.57            
14860            10.03            221.23           37.81            1.05            
14861            10.03            221.23           25.73            0.52            
14862            15.20            202.38           18.91            1.05            
14863            15.20            202.38           27.79            0.52            
14864            15.20            202.38           18.91            0.00            
14865            -91.10           184.96           20.43            3.67            
14866            -91.10           184.96           30.01            3.14            
14867            -91.10           184.96           20.43            2.62            
14868            -96.45           205.38           27.79            3.14            
14869            -96.45           205.38           40.83            2.62            
14870            -96.45           205.38           27.79            2.09            
14871            -76.09           210.96           20.43            2.62            
14872            -76.09           210.96           30.01            2.09            
14873            -76.09           210.96           20.43            1.57            
14874            -84.18           228.00           25.73            3.14            
14875            -84.18           228.00           37.81            2.62            
14876            -84.18           228.00           25.73            2.09            
14877            -77.16           253.64           35.01            2.62            
14878            -77.16           253.64           51.43            2.09            
14879            -77.16           253.64           35.01            1.57            
14880            -51.44           246.90           25.73            2.09            
14881            -51.44           246.90           37.81            1.57            
14882            -51.44           246.90           25.73            1.05            
14883            -40.73           231.38           20.43            2.62            
14884            -40.73           231.38           30.01            2.09            
14885            -40.73           231.38           20.43            1.57            
14886            -25.72           246.22           27.79            2.09            
14887            -25.72           246.22           40.83            1.57            
14888            -25.72           246.22           27.79            1.05            
14889            -10.71           231.38           20.43            1.57            
14890            -10.71           231.38           30.01            1.05            
14891            -10.71           231.38           20.43            0.52            
14892            -54.13           238.75           23.83            3.14            
14893            -54.13           238.75           35.01            2.62            
14894            -54.13           238.75           23.83            2.09            
14895            -47.63           262.49           32.41            2.62            
14896            -47.63           262.49           47.62            2.09            
14897            -47.63           262.49           32.41            1.57            
14898            -23.81           256.25           23.83            2.09            
14899            -23.81           256.25           35.01            1.57            
14900            -23.81           256.25           23.83            1.05            
14901            -22.05           278.18           30.01            2.62            
14902            -22.05           278.18           44.10            2.09            
14903            -22.05           278.18           30.01            1.57            
14904            0.00             299.99           40.83            2.09            
14905            0.00             299.99           59.99            1.57            
14906            0.00             299.99           40.83            1.05            
14907            22.05            278.18           30.01            1.57            
14908            22.05            278.18           44.10            1.05            
14909            22.05            278.18           30.01            0.52            
14910            23.81            256.25           23.83            2.09            
14911            23.81            256.25           35.01            1.57            
14912            23.81            256.25           23.83            1.05            
14913            47.63            262.49           32.41            1.57            
14914            47.63            262.49           47.62            1.05            
14915            47.63            262.49           32.41            0.52            
14916            54.13            238.75           23.83            1.05            
14917            54.13            238.75           35.01            0.52            
14918            54.13            238.75           23.83            0.00            
14919            10.71            231.38           20.43            2.62            
14920            10.71            231.38           30.01            2.09            
14921            10.71            231.38           20.43            1.57            
14922            25.72            246.22           27.79            2.09            
14923            25.72            246.22           40.83            1.57            
14924            25.72            246.22           27.79            1.05            
14925            40.73            231.38           20.43            1.57            
14926            40.73            231.38           30.01            1.05            
14927            40.73            231.38           20.43            0.52            
14928            51.44            246.90           25.73            2.09            
14929            51.44            246.90           37.81            1.57            
14930            51.44            246.90           25.73            1.05            
14931            77.16            253.64           35.01            1.57            
14932            77.16            253.64           51.43            1.05            
14933            77.16            253.64           35.01            0.52            
14934            84.18            228.00           25.73            1.05            
14935            84.18            228.00           37.81            0.52            
14936            84.18            228.00           25.73            0.00            
14937            76.09            210.96           20.43            1.57            
14938            76.09            210.96           30.01            1.05            
14939            76.09            210.96           20.43            0.52            
14940            96.45            205.38           27.79            1.05            
14941            96.45            205.38           40.83            0.52            
14942            96.45            205.38           27.79            0.00            
14943            91.10            184.96           20.43            0.52            
14944            91.10            184.96           30.01            0.00            
14945            91.10            184.96           20.43            -0.52           
14946            -15.20           202.38           18.91            3.14            
14947            -15.20           202.38           27.79            2.62            
14948            -15.20           202.38           18.91            2.09            
